Category,Resume,Skills,Experience,Selected
Sales,"Experienced Sales professional with 7 years of experience. Proficient in lead generation, salesforce, negotiation, crm. Worked on multiple projects involving lead generation and crm. Strong analytical and problem-solving skills.","lead generation, salesforce, negotiation, crm",7,1
Sales,"Experienced Sales professional with 10 years of experience. Proficient in salesforce, crm, cold calling, negotiation. Worked on multiple projects involving salesforce and negotiation. Strong analytical and problem-solving skills.","salesforce, crm, cold calling, negotiation",10,1
Advocate,"Experienced Advocate professional with 4 years of experience. Proficient in legal research, contract drafting, litigation, ipc. Worked on multiple projects involving legal research and ipc. Strong analytical and problem-solving skills.","legal research, contract drafting, litigation, ipc",4,0
SAP Developer,"Experienced SAP Developer professional with 11 years of experience. Proficient in idoc, sap fi, sap abap, bapi. Worked on multiple projects involving idoc and bapi. Strong analytical and problem-solving skills.","idoc, sap fi, sap abap, bapi",11,1
SAP Developer,"Experienced SAP Developer professional with 9 years of experience. Proficient in sap mm, bapi, sap fi, idoc. Worked on multiple projects involving sap mm and idoc. Strong analytical and problem-solving skills.","sap mm, bapi, sap fi, idoc",9,1
Python Developer,"Experienced Python Developer professional with 8 years of experience. Proficient in python, django, postgresql, rest api. Worked on multiple projects involving python and rest api. Strong analytical and problem-solving skills.","python, django, postgresql, rest api",8,1
PMO,"Experienced PMO professional with 3 years of experience. Proficient in budget planning, pmp, risk management, ms project. Worked on multiple projects involving budget planning and ms project. Strong analytical and problem-solving skills.","budget planning, pmp, risk management, ms project",3,0
Electrical Engineering,"Experienced Electrical Engineering professional with 4 years of experience. Proficient in circuit design, matlab, plc, power systems. Worked on multiple projects involving circuit design and power systems. Strong analytical and problem-solving skills.","circuit design, matlab, plc, power systems",4,1
Operations Manager,"Experienced Operations Manager professional with 2 years of experience. Proficient in kpi, lean, supply chain, six sigma. Worked on multiple projects involving kpi and six sigma. Strong analytical and problem-solving skills.","kpi, lean, supply chain, six sigma",2,0
Advocate,"Experienced Advocate professional with 5 years of experience. Proficient in legal research, litigation, ipc, contract drafting. Worked on multiple projects involving legal research and contract drafting. Strong analytical and problem-solving skills.","legal research, litigation, ipc, contract drafting",5,1
Advocate,"Experienced Advocate professional with 1 years of experience. Proficient in ipc, litigation, legal research, contract drafting. Worked on multiple projects involving ipc and contract drafting. Strong analytical and problem-solving skills.","ipc, litigation, legal research, contract drafting",1,0
Web Developer,"Experienced Web Developer professional with 7 years of experience. Proficient in html, node.js, javascript, mongodb. Worked on multiple projects involving html and mongodb. Strong analytical and problem-solving skills.","html, node.js, javascript, mongodb",7,1
Health and Fitness,"Experienced Health and Fitness professional with 4 years of experience. Proficient in cpr, fitness coaching, nutrition, anatomy. Worked on multiple projects involving cpr and anatomy. Strong analytical and problem-solving skills.","cpr, fitness coaching, nutrition, anatomy",4,1
Automation Testing,"Experienced Automation Testing professional with 0 years of experience. Proficient in testng, postman, jira, api testing. Worked on multiple projects involving testng and api testing. Strong analytical and problem-solving skills.","testng, postman, jira, api testing",0,1
Civil Engineer,"Experienced Civil Engineer professional with 2 years of experience. Proficient in staad pro, estimation, project management, soil testing. Worked on multiple projects involving staad pro and soil testing. Strong analytical and problem-solving skills.","staad pro, estimation, project management, soil testing",2,0
HR,"Experienced HR professional with 9 years of experience. Proficient in onboarding, hrms, employee engagement, recruitment. Worked on multiple projects involving onboarding and recruitment. Strong analytical and problem-solving skills.","onboarding, hrms, employee engagement, recruitment",9,1
Civil Engineer,"Experienced Civil Engineer professional with 11 years of experience. Proficient in estimation, staad pro, autocad, project management. Worked on multiple projects involving estimation and project management. Strong analytical and problem-solving skills.","estimation, staad pro, autocad, project management",11,1
Python Developer,"Experienced Python Developer professional with 2 years of experience. Proficient in rest api, python, django, flask. Worked on multiple projects involving rest api and flask. Strong analytical and problem-solving skills.","rest api, python, django, flask",2,1
Arts,"Experienced Arts professional with 0 years of experience. Proficient in content creation, photoshop, illustrator, video editing. Worked on multiple projects involving content creation and video editing. Strong analytical and problem-solving skills.","content creation, photoshop, illustrator, video editing",0,0
Electrical Engineering,"Experienced Electrical Engineering professional with 9 years of experience. Proficient in scada, matlab, power systems, plc. Worked on multiple projects involving scada and plc. Strong analytical and problem-solving skills.","scada, matlab, power systems, plc",9,1
Automation Testing,"Experienced Automation Testing professional with 3 years of experience. Proficient in testng, selenium, postman, api testing. Worked on multiple projects involving testng and api testing. Strong analytical and problem-solving skills.","testng, selenium, postman, api testing",3,1
